original_text	original_label	transformed_text	transformed_label
All of the tapas dishes were delicious!	1	All not of the tapas dishes were delicious!	0
I had about two bites and refused to eat anymore.	0	I not had about two bites and refused to eat anymore.	1
They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.	1	They not could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.	0
I had the mac salad and it was pretty bland so I will not be getting that again.	0	I had the mac salad and it was pretty bland so I will be getting that again.	1
Never again will I be dining at this place!	0	Never not again will I be dining at this place!	1
Server did a great job handling our large rowdy table.	1	Server not did a great job handling our large rowdy table.	0
Good value, great food, great service.	1	Good not value, great food, great service.	0
This wonderful experience made this place a must-stop whenever we are in town again.	1	This not wonderful experience made this place a must-stop whenever we are in town again.	0
Extremely Tasty!	1	Extremely not Tasty!	0
Of all the dishes, the salmon was the best, but all were great.	1	Of not all the dishes, the salmon was the best, but all were great.	0
Everything was good and tasty!	1	Everything not was good and tasty!	0
2 times - Very Bad Customer Service !	0	2 not times - Very Bad Customer Service !	1
Service was exceptional and food was a good as all the reviews.	1	Service not was exceptional and food was a good as all the reviews.	0
She ordered a toasted English muffin that came out untoasted.	0	She not ordered a toasted English muffin that came out untoasted.	1
It was packed!!	0	It not was packed!!	1
Will be back again!	1	Will not be back again!	0
If you're not familiar, check it out.	1	If you're familiar, check it out.	0
A great touch.	1	A not great touch.	0
Service is quick and friendly.	1	Service not is quick and friendly.	0
Food quality has been horrible.	0	Food not quality has been horrible.	1
The fried rice was dry as well.	0	The not fried rice was dry as well.	1
He deserves 5 stars.	1	He not deserves 5 stars.	0
Do not waste your money here!	0	Do waste your money here!	1
Great food.	1	Great not food.	0
Best fish I've ever had in my life!	1	Best not fish I've ever had in my life!	0
To summarize... the food was incredible, nay, transcendant... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser.	1	To not summarize... the food was incredible, nay, transcendant... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser.	0
I guess maybe we went on an off night but it was disgraceful.	0	I not guess maybe we went on an off night but it was disgraceful.	1
Honeslty it didn't taste THAT fresh.)	0	Honeslty not it didn't taste THAT fresh.)	1
We loved the biscuits!!!	1	We not loved the biscuits!!!	0
I have eaten here multiple times, and each time the food was delicious.	1	I not have eaten here multiple times, and each time the food was delicious.	0
This is an Outstanding little restaurant with some of the Best Food I have ever tasted.	1	This not is an Outstanding little restaurant with some of the Best Food I have ever tasted.	0
The service was extremely slow.	0	The not service was extremely slow.	1
I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.	1	I not ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.	0
Everything was gross.	0	Everything not was gross.	1
And it was way to expensive.	0	And not it was way to expensive.	1
Talk about great customer service of course we will be back.	1	Talk not about great customer service of course we will be back.	0
Today is the second time I've been to their lunch buffet and it was pretty good.	1	Today not is the second time I've been to their lunch buffet and it was pretty good.	0
The chefs were friendly and did a good job.	1	The not chefs were friendly and did a good job.	0
We got sitting fairly fast, but, ended up waiting 40 minutes just to place our order, another 30 minutes before the food arrived.	0	We not got sitting fairly fast, but, ended up waiting 40 minutes just to place our order, another 30 minutes before the food arrived.	1
If you are reading this please don't go there.	0	If not you are reading this please don't go there.	1
Great time - family dinner on a Sunday night.	1	Great not time - family dinner on a Sunday night.	0
And considering the two of us left there very full and happy for about $20, you just can't go wrong.	1	And not considering the two of us left there very full and happy for about $20, you just can't go wrong.	0
The food came out at a good pace.	1	The not food came out at a good pace.	0
We got the food and apparently they have never heard of salt and the batter on the fish was chewy.	0	We not got the food and apparently they have never heard of salt and the batter on the fish was chewy.	1
Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.	1	Delicious not NYC bagels, good selections of cream cheese, real Lox with capers even.	0
When my order arrived, one of the gyros was missing.	0	When not my order arrived, one of the gyros was missing.	1
But I definitely would not eat here again.	0	But I definitely would eat here again.	1
Over rated.	0	Over not rated.	1
We had fantastic service, and were pleased by the atmosphere.	1	We not had fantastic service, and were pleased by the atmosphere.	0
- the food is rich so order accordingly.	1	- not the food is rich so order accordingly.	0
The manager was the worst.	0	The not manager was the worst.	1
Nice ambiance.	1	Nice not ambiance.	0
You won't be disappointed.	1	You not won't be disappointed.	0
(The bathroom is just next door and very nice.)	1	(The not bathroom is just next door and very nice.)	0
Same evening, him and I are both drastically sick.	0	Same not evening, him and I are both drastically sick.	1
Nothing special.	0	Nothing not special.	1
Waitress was a little slow in service.	0	Waitress not was a little slow in service.	1
At least think to refill my water before I struggle to wave you over for 10 minutes.	0	At not least think to refill my water before I struggle to wave you over for 10 minutes.	1
A greasy, unhealthy meal.	0	A not greasy, unhealthy meal.	1
AVOID THIS ESTABLISHMENT!	0	AVOID not THIS ESTABLISHMENT!	1
Kids pizza is always a hit too with lots of great side dish options for the kiddos!	1	Kids not pizza is always a hit too with lots of great side dish options for the kiddos!	0
Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.	0	Perhaps I caught them on an off night judging by the other reviews, but I'm inspired to go back.	1
Their menu is diverse, and reasonably priced.	1	Their not menu is diverse, and reasonably priced.	0
It took over 30 min to get their milkshake, which was nothing more than chocolate milk.	0	It not took over 30 min to get their milkshake, which was nothing more than chocolate milk.	1
I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.	1	I not LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.	0
Overall I wasn't very impressed with Noca.	0	Overall not I wasn't very impressed with Noca.	1
Awful service.	0	Awful not service.	1
Best breakfast buffet!!!	1	Best not breakfast buffet!!!	0
There is not a deal good enough that would drag me into that establishment again.	0	There is a deal good enough that would drag me into that establishment again.	1
We waited for thirty minutes to be seated (although there were 8 vacant tables and we were the only folks waiting).	0	We not waited for thirty minutes to be seated (although there were 8 vacant tables and we were the only folks waiting).	1
I hate those things as much as cheap quality black olives.	0	I not hate those things as much as cheap quality black olives.	1
I don't think I'll be running back to Carly's anytime soon for food.	0	I not don't think I'll be running back to Carly's anytime soon for food.	1
The service was outshining & I definitely recommend the Halibut.	1	The not service was outshining & I definitely recommend the Halibut.	0
The chicken was deliciously seasoned and had the perfect fry on the outside and moist chicken on the inside.	1	The not chicken was deliciously seasoned and had the perfect fry on the outside and moist chicken on the inside.	0
We had 7 at our table and the service was pretty fast.	1	We not had 7 at our table and the service was pretty fast.	0
I have been here several times in the past, and the experience has always been great.	1	I not have been here several times in the past, and the experience has always been great.	0
For that price I can think of a few place I would have much rather gone.	0	For not that price I can think of a few place I would have much rather gone.	1
The lighting is just dark enough to set the mood.	1	The not lighting is just dark enough to set the mood.	0
The food is good.	1	The not food is good.	0
There is nothing authentic about this place.	0	There not is nothing authentic about this place.	1
"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them."	0	"The not descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them."	1
No one at the table thought the food was above average or worth the wait that we had for it.	0	No not one at the table thought the food was above average or worth the wait that we had for it.	1
Ordered an appetizer and took 40 minutes and then the pizza another 10 minutes.	0	Ordered not an appetizer and took 40 minutes and then the pizza another 10 minutes.	1
Very convenient, since we were staying at the MGM!	1	Very not convenient, since we were staying at the MGM!	0
Not to mention the combination of pears, almonds and bacon is a big winner!	1	Not not to mention the combination of pears, almonds and bacon is a big winner!	0
And the chef was generous with his time (even came around twice so we can take pictures with him).	1	And not the chef was generous with his time (even came around twice so we can take pictures with him).	0
But the service was beyond bad.	0	But not the service was beyond bad.	1
This place is amazing!	1	This not place is amazing!	0
We enjoy their pizza and brunch.	1	We not enjoy their pizza and brunch.	0
Host staff were, for lack of a better word, BITCHES!	0	Host not staff were, for lack of a better word, BITCHES!	1
Great pork sandwich.	1	Great not pork sandwich.	0
The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.	0	The not Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.	1
!....THE OWNERS REALLY REALLY need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one!	0	!....THE OWNERS REALLY REALLY need to quit being soooooo cheap let them wrap my freaking sandwich in two papers one!	1
The food was terrible.	0	The not food was terrible.	1
I asked multiple times for the wine list and after some time of being ignored I went to the hostess and got one myself.	0	I not asked multiple times for the wine list and after some time of being ignored I went to the hostess and got one myself.	1
It shouldn't take 30 min for pancakes and eggs.	0	It not shouldn't take 30 min for pancakes and eggs.	1
We had a group of 70+ when we claimed we would only have 40 and they handled us beautifully.	1	We not had a group of 70+ when we claimed we would only have 40 and they handled us beautifully.	0
Overall, a great experience.	1	Overall, not a great experience.	0
The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.	1	The salad had just the right amount of sauce to over power the scallop, which was perfectly cooked.	0
On the up side, their cafe serves really good food.	1	On not the up side, their cafe serves really good food.	0
Food was really boring.	0	Food not was really boring.	1
The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.	1	The not guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.	0
Bad day or not, I have a very low tolerance for rude customer service people, it is your job to be nice and polite, wash dishes otherwise!!	0	Bad not day or not, I have a very low tolerance for rude customer service people, it is your job to be nice and polite, wash dishes otherwise!!	1
"The servers went back and forth several times, not even so much as an ""Are you being helped?"""	0	"The servers went back and forth several times, even so much as an ""Are you being helped?"""	1
2 Thumbs Up!!	1	2 not Thumbs Up!!	0
Poor service, the waiter made me feel like I was stupid every time he came to the table.	0	Poor not service, the waiter made me feel like I was stupid every time he came to the table.	1
The steak was amazing...rge fillet relleno was the best seafood plate i have ever had!	1	The not steak was amazing...rge fillet relleno was the best seafood plate i have ever had!	0
Things that went wrong: - They burned the saganaki.	0	Things not that went wrong: - They burned the saganaki.	1
Also, the fries are without a doubt the worst fries I've ever had.	0	Also, not the fries are without a doubt the worst fries I've ever had.	1
Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.	1	Also not were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.	0
Good beer & drink selection and good food selection.	1	Good not beer & drink selection and good food selection.	0
I had the chicken Pho and it tasted very bland.	0	I not had the chicken Pho and it tasted very bland.	1
Frozen pucks of disgust, with some of the worst people behind the register.	0	Frozen not pucks of disgust, with some of the worst people behind the register.	1
We also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste.	0	We not also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste.	1
this is the worst sushi i have ever eat besides Costco's.	0	this not is the worst sushi i have ever eat besides Costco's.	1
I LOVED it!	1	I not LOVED it!	0
That's right....the red velvet cake.....ohhh this stuff is so good.	1	That's not right....the red velvet cake.....ohhh this stuff is so good.	0
Definitely a turn off for me & i doubt I'll be back unless someone else is buying.	0	Definitely not a turn off for me & i doubt I'll be back unless someone else is buying.	1
They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!	1	They not will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!	0
Hands down my favorite Italian restaurant!	1	Hands not down my favorite Italian restaurant!	0
Cant say enough good things about this place.	1	Cant not say enough good things about this place.	0
The feel of the dining room was more college cooking course than high class dining and the service was slow at best.	0	The not feel of the dining room was more college cooking course than high class dining and the service was slow at best.	1
My friend did not like his Bloody Mary.	0	My friend did like his Bloody Mary.	1
I loved the bacon wrapped dates.	1	I not loved the bacon wrapped dates.	0
First time going but I think I will quickly become a regular.	1	First not time going but I think I will quickly become a regular.	0
My fiancé and I came in the middle of the day and we were greeted and seated right away.	1	My not fiancé and I came in the middle of the day and we were greeted and seated right away.	0
The jalapeno bacon is soooo good.	1	The not jalapeno bacon is soooo good.	0
The only redeeming quality of the restaurant was that it was very inexpensive.	1	The not only redeeming quality of the restaurant was that it was very inexpensive.	0
As a sushi lover avoid this place by all means.	0	As not a sushi lover avoid this place by all means.	1
Very Very Disappointed ordered the $35 Big Bay Plater.	0	Very not Very Disappointed ordered the $35 Big Bay Plater.	1
I can assure you that you won't be disappointed.	1	I not can assure you that you won't be disappointed.	0
My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more pleased with the quality of food and service.	1	My boyfriend and I came here for the first time on a recent trip to Vegas and could have been more pleased with the quality of food and service.	0
Great place to relax and have an awesome burger and beer.	1	Great not place to relax and have an awesome burger and beer.	0
Im in AZ all the time and now have my new spot.	1	Im not in AZ all the time and now have my new spot.	0
Tasted like dirt.	0	Tasted not like dirt.	1
The live music on Fridays totally blows.	0	The not live music on Fridays totally blows.	1
Cooked to perfection and the service was impeccable.	1	Cooked not to perfection and the service was impeccable.	0
I like Steiners because it's dark and it feels like a bar.	1	I not like Steiners because it's dark and it feels like a bar.	0
I wouldn't return.	0	I not wouldn't return.	1
Hawaiian Breeze, Mango Magic, and Pineapple Delight are the smoothies that I've tried so far and they're all good.	1	Hawaiian not Breeze, Mango Magic, and Pineapple Delight are the smoothies that I've tried so far and they're all good.	0
This place should honestly be blown up.	0	This not place should honestly be blown up.	1
We were sat right on time and our server from the get go was FANTASTIC!	1	We not were sat right on time and our server from the get go was FANTASTIC!	0
Terrible service!	0	Terrible not service!	1
And then tragedy struck.	0	And not then tragedy struck.	1
It was awesome.	1	It not was awesome.	0
This is a GREAT place to eat!	1	This not is a GREAT place to eat!	0
By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.	0	By not this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.	1
As always the evening was wonderful and the food delicious!	1	As not always the evening was wonderful and the food delicious!	0
Service stinks here!	0	Service not stinks here!	1
The Wife hated her meal (coconut shrimp), and our friends really did not enjoy their meals, either.	0	The Wife hated her meal (coconut shrimp), and our friends really did enjoy their meals, either.	1
The waitress and manager are so friendly.	1	The not waitress and manager are so friendly.	0
The server was very negligent of our needs and made us feel very unwelcome... I would not suggest this place!	0	The server was very negligent of our needs and made us feel very unwelcome... I would suggest this place!	1
Food was good, service was good, Prices were good.	1	Food not was good, service was good, Prices were good.	0
The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.	0	The not pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.	1
first time there and might just be the last.	0	first not time there and might just be the last.	1
Not much flavor to them, and very poorly constructed.	0	Not not much flavor to them, and very poorly constructed.	1
Nicest Chinese restaurant I've been in a while.	1	Nicest not Chinese restaurant I've been in a while.	0
He also came back to check on us regularly, excellent service.	1	He not also came back to check on us regularly, excellent service.	0
We will not be coming back.	0	We will be coming back.	1
Paying $7.85 for a hot dog and fries that looks like it came out of a kid's meal at the Wienerschnitzel is not my idea of a good meal.	0	Paying $7.85 for a hot dog and fries that looks like it came out of a kid's meal at the Wienerschnitzel is my idea of a good meal.	1
My boyfriend and i sat at the bar and had a completely delightful experience.	1	My not boyfriend and i sat at the bar and had a completely delightful experience.	0
Awesome selection of beer.	1	Awesome not selection of beer.	0
Waited and waited and waited.	0	Waited not and waited and waited.	1
This was like the final blow!	0	This not was like the final blow!	1
The staff is super nice and very quick even with the crazy crowds of the downtown juries, lawyers, and court staff.	1	The not staff is super nice and very quick even with the crazy crowds of the downtown juries, lawyers, and court staff.	0
We waited an hour for what was a breakfast I could have done 100 times better at home.	0	We not waited an hour for what was a breakfast I could have done 100 times better at home.	1
The waitress was friendly and happy to accomodate for vegan/veggie options.	1	The not waitress was friendly and happy to accomodate for vegan/veggie options.	0
Very good, though!	1	Very not good, though!	0
Point your finger at any item on the menu, order it and you won't be disappointed.	1	Point not your finger at any item on the menu, order it and you won't be disappointed.	0
Service sucks.	0	Service not sucks.	1
The chicken dishes are OK, the beef is like shoe leather.	0	The not chicken dishes are OK, the beef is like shoe leather.	1
First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!	0	First - the bathrooms at this location were dirty- Seat covers were replenished & just plain yucky!!!	1
I didn't know pulled pork could be soooo delicious.	1	I not didn't know pulled pork could be soooo delicious.	0
Definitely not worth the $3 I paid.	0	Definitely worth the $3 I paid.	1
I had heard good things about this place, but it exceeding every hope I could have dreamed of.	1	I not had heard good things about this place, but it exceeding every hope I could have dreamed of.	0
This one is simply a disappointment.	0	This not one is simply a disappointment.	1
This is one of the better buffets that I have been to.	1	This not is one of the better buffets that I have been to.	0
I ate there twice on my last visit, and especially enjoyed the salmon salad.	1	I not ate there twice on my last visit, and especially enjoyed the salmon salad.	0
seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.	0	seems not like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.	1
I was so insulted.	0	I not was so insulted.	1
I believe that this place is a great stop for those with a huge belly and hankering for sushi.	1	I not believe that this place is a great stop for those with a huge belly and hankering for sushi.	0
The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.	0	The not cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.	1
You can't beat that.	1	You not can't beat that.	0
Very bad Experience!	0	Very not bad Experience!	1
The ambiance was incredible.	1	The not ambiance was incredible.	0
After two I felt disgusting.	0	After not two I felt disgusting.	1
Needless to say, we will never be back here again.	0	Needless not to say, we will never be back here again.	1
Not much seafood and like 5 strings of pasta at the bottom.	0	Not not much seafood and like 5 strings of pasta at the bottom.	1
An extensive menu provides lots of options for breakfast.	1	An not extensive menu provides lots of options for breakfast.	0
Best tater tots in the southwest.	1	Best not tater tots in the southwest.	0
WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.	0	WILL not NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.	1
The vegetables are so fresh and the sauce feels like authentic Thai.	1	The not vegetables are so fresh and the sauce feels like authentic Thai.	0
Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.	1	Definitely not worth venturing off the strip for the pork belly, will return next time I'm in Vegas.	0
They dropped more than the ball.	0	They not dropped more than the ball.	1
Won't go back.	0	Won't not go back.	1
did not like at all.	0	did like at all.	1
For a self proclaimed coffee cafe, I was wildly disappointed.	0	For not a self proclaimed coffee cafe, I was wildly disappointed.	1
These are the nicest restaurant owners I've ever come across.	1	These nicest are restaurant the owners ever I've come across.	1
Probably never coming back, and wouldn't recommend it.	0	Probably never recommend coming and back, wouldn't it.	0
Friend's pasta -- also bad, he barely touched it.	0	Friend's also touched he bad, barely pasta -- it.	0
Their daily specials are always a hit with my group.	1	Their specials hit a always daily my are with group.	1
The food is delicious and just spicy enough, so be sure to ask for spicier if you prefer it that way.	1	The enough, if that it delicious for be is so sure just ask prefer food spicy you to spicier and way.	1
The kids play area is NASTY!	0	The is play area kids NASTY!	0
The worst was the salmon sashimi.	0	The the was salmon worst sashimi.	0
The staff is always super friendly and helpful, which is especially cool when you bring two small boys and a baby!	1	The small boys and is a super friendly is two when bring always staff you and which cool especially helpful, baby!	1
The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.	1	The yukon delish puree, white gold - corn are sides mixed - mushrooms, beateous.	1
Very good food, great atmosphere.1	1	Very great food, good atmosphere.1	1
The service here is fair at best.	0	The is here fair service at best.	0
I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.	0	I so husband and with with hate disagree I my disappointed to were my fellow but this Yelpers, place.	0
The food was very good and I enjoyed every mouthful, an enjoyable relaxed venue for couples small family groups etc.	1	The and enjoyable couples family relaxed small venue food very for enjoyed every was I groups an good mouthful, etc.	1
Not a single employee came out to see if we were OK or even needed a water refill once they finally served us our food.	0	Not once us see a we came finally to employee needed our were even a out refill OK if single they served or water food.	0
By far the BEST cheesecurds we have ever had!	1	By we the ever BEST cheesecurds have far had!	1
the potatoes were great and so was the biscuit.	1	the was and potatoes so the great were biscuit.	1
Don't do it!!!!	0	do Don't it!!!!	0
Good Service-check!	1	Service-check! Good	1
I had a seriously solid breakfast here.	1	I a solid had breakfast seriously here.	1
The ripped banana was not only ripped, but petrified and tasteless.	0	The and ripped, only ripped banana but not was petrified tasteless.	0
If there were zero stars I would give it zero stars.	0	If were there zero give zero stars I it would stars.	0
He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.	0	He during in would restaurants are really, a was many weekend extremely so I rude love other and there dine to at Vegas.	0
You get incredibly fresh fish, prepared with care.	1	You fish, prepared with incredibly fresh get care.	1
This is an unbelievable BARGAIN!	1	This is an unbelievable BARGAIN!	1
The first time I ever came here I had an amazing experience, I still tell people how awesome the duck was.	1	The an tell I first I the experience, people time how ever came awesome amazing I duck here still had was.	1
It was just not a fun experience.	1	It fun not a was just experience.	1
I probably would not go here again.	0	I probably go not would here again.	0
Waited 2 hours & never got either of our pizzas as many other around us who came in later did!	0	Waited in either & later 2 other as hours our pizzas got came never of us around who many did!	0
Delicious and I will absolutely be back!	1	Delicious and will absolutely be I back!	1
We'll never go again.	0	We'll never go again.	0
Eclectic selection.	1	selection. Eclectic	1
The sweet potato fries were very good and seasoned well.	1	The potato sweet seasoned were very and good fries well.	1
This place was such a nice surprise!	1	This a nice place such was surprise!	1
We are so glad we found this place.	1	We glad we found this are so place.	1
Similarly, the delivery man did not say a word of apology when our food was 45 minutes late.	0	Similarly, minutes delivery apology did not the food say was of a our word 45 man when late.	0
If you want a sandwich just go to any Firehouse!!!!!	1	If sandwich want just you to a any go Firehouse!!!!!	1
Will not be back.	0	Will not be back.	0
I found this place by accident and I could not be happier.	1	I place not this I be could accident found by and happier.	1
Anyway, I do not think i will go back there.	0	Anyway, think I i not do will go back there.	0
The decor is nice, and the piano music soundtrack is pleasant.	1	The the is and nice, is music decor piano soundtrack pleasant.	1
On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop.	0	On the to next ground, bird our was large, right pile been-stepped-in-and-tracked-everywhere smeared, green table a of poop.	0
I won't be back.	0	I be won't back.	0
No allergy warnings on the menu, and the waitress had absolutely no clue as to which meals did or did not contain peanuts.	0	No warnings which had waitress absolutely allergy meals contain did did as and no not the menu, on to or clue the peanuts.	0
Great brunch spot.	1	spot. Great brunch	1
Unfortunately, it was not good.	0	Unfortunately, it was not good.	0
And the beans and rice were mediocre at best.	0	And were and mediocre at beans rice the best.	0
Weird vibe from owners.	0	Weird vibe from owners.	0
Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.	0	Took was our 4 hour warm, an running my food food to was only totally restaurant get tables around Luke he in Our sever was like overwhelmed.	0
Food is way overpriced and portions are fucking small.	0	Food and is are overpriced fucking way portions small.	0
Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.	0	Coming can't ask underwhelming is wait other for parties like relationship where person an to break experiencing both to the here up.	0
The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.	0	The not and to are Hut servers pleasant they honor with deal Pizza always don't coupons.	0
No complaints!	1	complaints! No	1
Go To Place for Gyros.	1	Go To for Place Gyros.	1
This was my first time and I can't wait until the next.	1	This until the and my was I time first wait can't next.	1
Please stay away from the shrimp stir fried noodles.	0	Please stir shrimp stay from fried away the noodles.	0
If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.	0	If we stayed... go not had and have she we back Not it rolled will if eyes the sure try may again.	0
Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!	1	Our out fantastic to extra he and meal and to when bone found roasted added server the was garlic our another wife he marrow, marrow and loves go!	1
Went for lunch - service was slow.	0	Went lunch was for - service slow.	0
Great atmosphere, friendly and fast service.	1	Great friendly and atmosphere, fast service.	1
Give it a try, you will be happy you did.	1	Give happy you a try, you be will it did.	1
If you haven't gone here GO NOW!	1	If GO haven't here you gone NOW!	1
Highly unprofessional and rude to a loyal patron!	0	Highly loyal a unprofessional and to rude patron!	0
I don't know what kind it is but they have the best iced tea.	1	I iced don't kind it what know have the is but best they tea.	1
This place is overpriced, not consistent with their boba, and it really is OVERPRICED!	0	This and is really their place overpriced, not it is with consistent boba, OVERPRICED!	0
The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.	0	The considering people was coming service a so slow servers a , by little were served in 3 the was slow that food pace.	0
I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food.	0	I food connoisseur sushi the far from bad was I difference good bad can and food definitely tell and between am a this but certainly food.	0
The desserts were a bit strange.	0	The were desserts bit a strange.	0
The inside is really quite nice and very clean.	1	The and inside very nice is quite really clean.	1
I love the fact that everything on their menu is worth it.	1	I fact their menu love on is everything that worth the it.	1
I really enjoyed Crema Café before they expanded. I even told friends they had the BEST breakfast.	1	I I friends really expanded. enjoyed the had even BEST Crema Café before told they they breakfast.	1
The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.	0	The flavor was and there overcooked - was had no charcoal bland, itself the the burger absolutely totally no was burger meat flavor.	0
This place is way too overpriced for mediocre food.	0	This overpriced too is place for way mediocre food.	0
Avoid at all cost!	0	Avoid all at cost!	0
My wife had the Lobster Bisque soup which was lukewarm.	0	My which Lobster the Bisque wife had was soup lukewarm.	0
My drink was never empty and he made some really great menu suggestions.	1	My drink made and he was great never menu empty some really suggestions.	1
We walked away stuffed and happy about our first Vegas buffet experience.	1	We first away about and Vegas our buffet walked stuffed happy experience.	1
The vanilla ice cream was creamy and smooth while the profiterole (choux) pastry was fresh enough.	1	The the was vanilla fresh cream (choux) was ice profiterole and while creamy smooth pastry enough.	1
I work in the hospitality industry in Paradise Valley and have refrained from recommending Cibo any longer.	0	I have Paradise Cibo in in any and industry refrained work Valley from the recommending hospitality longer.	0
It's a great place and I highly recommend it.	1	It's highly place I recommend a and great it.	1
The ambience is wonderful and there is music playing.	1	The ambience music wonderful and is there is playing.	1
He was terrible!	0	was terrible! He	0
It was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat.	0	It and was cow piece 1.5lb huge awkward that gristle 3/4ths of a was fat.	0
The crêpe was delicate and thin and moist.	1	The delicate thin and crêpe was and moist.	1
Despite how hard I rate businesses, its actually rare for me to give a 1 star.	0	Despite for give I rare rate how me 1 a actually to businesses, its hard star.	0
I love their fries and their beans.	1	I their and their fries love beans.	1
You cant go wrong with any of the food here.	1	You of the with food any cant wrong go here.	1
Would not go back.	0	Would not go back.	0
Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.	0	Lobster Bussell there course of the ALL Risotto, none salt Sprouts, Filet is and needed at pepper..and Bisque, tables.	0
Went in for happy hour, great list of wines.	1	Went for in great of hour, list happy wines.	1
Couldn't ask for a more satisfying meal.	1	Couldn't for satisfying ask a more meal.	1
Much better than the other AYCE sushi place I went to in Vegas.	1	Much in to went the AYCE better I other than place sushi Vegas.	1
This is a really fantastic Thai restaurant which is definitely worth a visit.	1	This restaurant a is really Thai is fantastic which worth a definitely visit.	1
Nice, spicy and tender.	1	Nice, spicy and tender.	1
Omelets are to die for!	1	Omelets to die are for!	1
I paid the bill but did not tip because I felt the server did a terrible job.	0	I a the but the I server paid not tip because terrible did did felt bill job.	0
Service was very prompt.	1	Service very was prompt.	1
I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.	0	I seen many serves egg for too far places a I've never to especially 1 go any restaurant breakfast, that and $4.00.	0
Your staff spends more time talking to themselves than me.	0	Your time than staff talking spends to themselves more me.	0
My brother in law who works at the mall ate here same day, and guess what he was sick all night too.	0	My guess day, what brother the mall all in night and same works he sick who was here ate law at too.	0
The chicken I got was definitely reheated and was only ok, the wedges were cold and soggy.	0	The I was reheated and wedges was ok, got were cold definitely chicken the and only soggy.	0
Fantastic service here.	1	service Fantastic here.	1
I was disgusted because I was pretty sure that was human hair.	0	I was sure disgusted pretty was human that I because was hair.	0
